2025-04-10 12:07:46,978 - INFO - Simulation started with 15 sheep and 50 rounds.
2025-04-10 12:07:51,647 - DEBUG - Sheep moved to (-7.99, -5.08).
2025-04-10 12:07:51,647 - DEBUG - Sheep moved to (-9.85, 7.71).
2025-04-10 12:07:51,647 - DEBUG - Sheep moved to (-1.54, -6.02).
2025-04-10 12:07:51,647 - DEBUG - Sheep moved to (7.79, 8.65).
2025-04-10 12:07:51,647 - DEBUG - Sheep moved to (3.64, -1.73).
2025-04-10 12:07:51,647 - DEBUG - Sheep moved to (11.29, -3.16).
2025-04-10 12:07:51,647 - DEBUG - Sheep moved to (-3.08, -1.79).
2025-04-10 12:07:51,648 - DEBUG - Sheep moved to (1.93, -9.46).
2025-04-10 12:07:51,648 - DEBUG - Sheep moved to (-8.03, 3.25).
2025-04-10 12:07:51,648 - DEBUG - Sheep moved to (6.38, 4.22).
2025-04-10 12:07:51,648 - DEBUG - Sheep moved to (-1.81, 4.08).
2025-04-10 12:07:51,648 - DEBUG - Sheep moved to (-7.82, 2.65).
2025-04-10 12:07:51,648 - DEBUG - Sheep moved to (-1.40, 10.49).
2025-04-10 12:07:51,650 - INFO - Wolf chasing sheep at (-3.08, -1.79).
2025-04-10 12:07:51,685 - DEBUG - Round 7 started.
2025-04-10 12:07:51,685 - DEBUG - Sheep moved to (-7.99, -4.58).
2025-04-10 12:07:51,685 - DEBUG - Sheep moved to (-9.85, 8.21).
2025-04-10 12:07:51,686 - DEBUG - Sheep moved to (-1.54, -6.52).
2025-04-10 12:07:51,686 - DEBUG - Sheep moved to (7.79, 8.15).
2025-04-10 12:07:51,686 - DEBUG - Sheep moved to (3.14, -1.73).
2025-04-10 12:07:51,686 - DEBUG - Sheep moved to (11.79, -3.16).
2025-04-10 12:07:51,686 - DEBUG - Sheep moved to (1.93, -8.96).
2025-04-10 12:07:51,686 - DEBUG - Sheep moved to (-8.03, 2.75).
2025-04-10 12:07:51,687 - DEBUG - Sheep moved to (6.88, 4.22).
2025-04-10 12:07:51,687 - DEBUG - Sheep moved to (-1.81, 3.58).
2025-04-10 12:07:51,687 - DEBUG - Sheep moved to (-7.82, 2.15).
2025-04-10 12:07:51,687 - DEBUG - Sheep moved to (-1.90, 10.49).
2025-04-10 12:07:51,687 - INFO - Wolf chasing sheep at (-1.54, -6.52).
2025-04-10 12:07:51,724 - DEBUG - Round 8 started.
2025-04-10 12:07:51,725 - DEBUG - Sheep moved to (-7.99, -5.08).
2025-04-10 12:07:51,725 - DEBUG - Sheep moved to (-9.85, 8.71).
2025-04-10 12:07:51,725 - DEBUG - Sheep moved to (-1.54, -6.02).
2025-04-10 12:07:51,725 - DEBUG - Sheep moved to (7.29, 8.15).
2025-04-10 12:07:51,725 - DEBUG - Sheep moved to (2.64, -1.73).
2025-04-10 12:07:51,725 - DEBUG - Sheep moved to (11.29, -3.16).
2025-04-10 12:07:51,725 - DEBUG - Sheep moved to (1.43, -8.96).
2025-04-10 12:07:51,725 - DEBUG - Sheep moved to (-8.53, 2.75).
2025-04-10 12:07:51,725 - DEBUG - Sheep moved to (6.88, 4.72).
2025-04-10 12:07:51,725 - DEBUG - Sheep moved to (-1.81, 3.08).
2025-04-10 12:07:51,725 - DEBUG - Sheep moved to (-7.32, 2.15).
2025-04-10 12:07:51,726 - DEBUG - Sheep moved to (-1.90, 9.99).
2025-04-10 12:07:51,726 - INFO - Wolf chasing sheep at (-1.54, -6.02).
2025-04-10 12:07:51,765 - DEBUG - Round 9 started.
2025-04-10 12:07:51,765 - DEBUG - Sheep moved to (-7.99, -4.58).
2025-04-10 12:07:51,766 - DEBUG - Sheep moved to (-9.85, 8.21).
2025-04-10 12:07:51,766 - DEBUG - Sheep moved to (-1.54, -5.52).
2025-04-10 12:07:51,766 - DEBUG - Sheep moved to (7.29, 7.65).
2025-04-10 12:07:51,766 - DEBUG - Sheep moved to (2.64, -1.23).
2025-04-10 12:07:51,766 - DEBUG - Sheep moved to (11.29, -3.66).
2025-04-10 12:07:51,766 - DEBUG - Sheep moved to (1.43, -9.46).
2025-04-10 12:07:51,766 - DEBUG - Sheep moved to (-8.03, 2.75).
2025-04-10 12:07:51,766 - DEBUG - Sheep moved to (6.88, 5.22).
